Step,TimeStamp,AvgEnergy,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
231,13860.56,403.8113,25,1,450.0047,0.4687308,0.7779198
232,13920.56,403.897,25,1,450.0047,0.4639236,0.8927064
233,13980.56,403.9828,25,1,450.0047,0.4658915,0.8904424
234,14040.56,404.0686,25,1,450.0047,0.4751829,0.6806267
235,14100.56,404.1543,25,1,450.0047,0.4268889,0.924448
236,14160.56,404.2401,25,1,450.0047,0.4671788,0.7454414
237,14220.56,404.3259,25,1,450.0047,0.4569352,0.9082977
238,14280.56,404.4116,25,1,450.0047,0.4895748,0.6376517
239,14340.56,404.4974,25,1,450.0047,0.4896146,0.779862
240,14400.56,404.5832,25,1,450.0047,0.4594668,0.6396621
241,14460.56,404.6689,25,1,450.0047,0.4802151,0.7785258
242,14520.56,404.7547,25,1,450.0047,0.4722325,1.002311
243,14580.56,404.8404,25,1,450.0047,0.4527519,0.4493992
244,14640.56,404.9262,25,1,450.0047,0.4956255,0.6924223
245,14700.56,405.012,25,1,450.0047,0.4975995,0.7541785
246,14760.56,405.0977,25,1,450.0047,0.4750166,0.6912764
247,14820.56,405.1835,25,1,450.0047,0.4721146,0.7323426
248,14880.56,405.2693,25,1,450.0047,0.4788214,0.7767212
249,14940.56,405.355,25,1,450.0047,0.4245152,0.983102
250,15000.56,405.4408,25,1,450.0047,0.4886788,0.5193098
251,15060.56,405.5266,25,1,450.0047,0.4419652,0.8830371
252,15120.56,405.6123,25,1,450.0047,0.4369265,1.24713
253,15180.56,405.6981,25,1,450.0047,0.4934667,0.7286323
254,15240.56,405.7838,25,1,450.0047,0.4915501,0.7972621
255,15300.56,405.8696,25,1,450.0047,0.478392,0.5669604
256,15360.56,405.9554,25,1,450.0047,0.4662109,0.9978611
257,15420.56,406.0411,25,1,450.0047,0.4283711,0.7826471
258,15480.56,406.1269,25,1,450.0047,0.4610007,0.7614076
259,15540.56,406.2126,25,1,450.0047,0.4946943,0.5364212
260,15600.56,406.2984,25,1,450.0047,0.4628367,1.036307
261,15660.56,406.3842,25,1,450.0047,0.4485255,0.927699
262,15720.56,406.4699,25,1,450.0047,0.4440564,0.4382704
263,15780.56,406.5557,25,1,450.0047,0.4960693,0.9504724
264,15840.56,406.6415,25,1,450.0047,0.4870089,0.4906094
265,15900.56,406.7272,25,1,450.0047,0.4562516,0.7420281
