Step,TimeStamp,AvgEnergy,AverageEnergy_5th,AverageEnergy_95th,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
306,18360.47,405.1592,405.1368,405.1875,25,1,577.1127,0.496803,0.8512459
307,18420.47,405.2285,405.2071,405.2565,25,1,577.5266,0.4652281,0.7769101
308,18480.47,405.2975,405.2774,405.3248,25,1,577.9449,0.4792792,0.7552404
309,18540.47,405.3663,405.3464,405.3933,25,1,578.3691,0.4687026,0.8724705
310,18600.47,405.4354,405.4161,405.4614,25,1,578.7855,0.4412563,0.5815194
311,18660.47,405.5042,405.4858,405.5312,25,1,579.2081,0.3923823,0.9644297
312,18720.47,405.5735,405.5554,405.6023,25,1,579.6216,0.4867227,0.7210031
313,18780.47,405.6427,405.6243,405.6714,25,1,580.0342,0.4648793,0.7343923
314,18840.47,405.7116,405.6921,405.7401,25,1,580.4565,0.4877249,0.8996713
315,18900.47,405.7809,405.7608,405.8087,25,1,580.8667,0.489438,0.5902
316,18960.47,405.8492,405.8301,405.8773,25,1,581.3041,0.4975044,0.8220912
317,19020.47,405.9188,405.9004,405.9449,25,1,581.7091,0.3951467,1.034461
318,19080.47,405.9877,405.9693,406.0127,25,1,582.1309,0.4713599,0.8239924
319,19140.47,406.0564,406.0371,406.082,25,1,582.5574,0.4692936,0.771088
320,19200.47,406.125,406.1072,406.1507,25,1,582.9865,0.4556239,0.5949939
