Step,TimeStamp,AvgEnergy,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
372,11160.46,0,0,1,1014.048,NaN,NaN
373,11190.46,0,0,1,1016.773,NaN,NaN
374,11220.46,0,0,1,1019.499,NaN,NaN
375,11250.46,0,0,1,1022.225,NaN,NaN
376,11280.46,0,0,1,1024.951,NaN,NaN
377,11310.46,0,0,1,1027.676,NaN,NaN
378,11340.46,0,0,1,1030.402,NaN,NaN
379,11370.46,0,0,1,1033.128,NaN,NaN
380,11400.46,0,0,1,1035.853,NaN,NaN
381,11430.46,0,0,1,1038.579,NaN,NaN
382,11460.46,0,0,1,1041.305,NaN,NaN
383,11490.46,0,0,1,1044.031,NaN,NaN
384,11520.46,0,0,1,1046.756,NaN,NaN
385,11550.46,0,0,1,1049.482,NaN,NaN
386,11580.46,0,0,1,1052.208,NaN,NaN
387,11610.46,0,0,1,1054.933,NaN,NaN
388,11640.46,0,0,1,1057.659,NaN,NaN
389,11670.46,0,0,1,1060.385,NaN,NaN
390,11700.46,0,0,1,1063.11,NaN,NaN
391,11730.46,0,0,1,1065.836,NaN,NaN
392,11760.46,0,0,1,1068.562,NaN,NaN
393,11790.46,0,0,1,1071.287,NaN,NaN
394,11820.46,0,0,1,1074.013,NaN,NaN
395,11850.46,0,0,1,1076.739,NaN,NaN
396,11880.46,0,0,1,1079.464,NaN,NaN
397,11910.46,0,0,1,1082.19,NaN,NaN
398,11940.46,0,0,1,1084.916,NaN,NaN
399,11970.46,0,0,1,1087.642,NaN,NaN
400,12000.46,0,0,1,1090.367,NaN,NaN
401,12030.46,0,0,1,1093.093,NaN,NaN
402,12060.46,0,0,1,1095.819,NaN,NaN
403,12090.46,0,0,1,1098.544,NaN,NaN
404,12120.46,0,0,1,1101.27,NaN,NaN
405,12150.46,0,0,1,1103.996,NaN,NaN
406,12180.46,0,0,1,1106.721,NaN,NaN
407,12210.46,0,0,1,1109.447,NaN,NaN
408,12240.46,0,0,1,1112.173,NaN,NaN
409,12270.46,0,0,1,1114.899,NaN,NaN
410,12300.46,0,0,1,1117.624,NaN,NaN
411,12330.46,0,0,1,1120.35,NaN,NaN
412,12360.46,0,0,1,1123.076,NaN,NaN
413,12390.46,0,0,1,1125.801,NaN,NaN
414,12420.46,0,0,1,1128.527,NaN,NaN
415,12450.46,0,0,1,1131.253,NaN,NaN
416,12480.46,0,0,1,1133.978,NaN,NaN
417,12510.46,0,0,1,1136.704,NaN,NaN
418,12540.46,0,0,1,1139.43,NaN,NaN
419,12570.46,0,0,1,1142.156,NaN,NaN
420,12600.46,0,0,1,1144.881,NaN,NaN
421,12630.46,0,0,1,1147.607,NaN,NaN
422,12660.46,0,0,1,1150.333,NaN,NaN
423,12690.46,0,0,1,1153.058,NaN,NaN
424,12720.46,0,0,1,1155.784,NaN,NaN
425,12750.46,0,0,1,1158.51,NaN,NaN
426,12780.46,0,0,1,1161.235,NaN,NaN
427,12810.46,0,0,1,1163.961,NaN,NaN
428,12840.46,0,0,1,1166.687,NaN,NaN
429,12870.46,0,0,1,1169.412,NaN,NaN
430,12900.46,0,0,1,1172.138,NaN,NaN
431,12930.46,0,0,1,1174.864,NaN,NaN
432,12960.46,0,0,1,1177.589,NaN,NaN
433,12990.46,0,0,1,1180.315,NaN,NaN
434,13020.46,0,0,1,1183.041,NaN,NaN
435,13050.46,0,0,1,1185.767,NaN,NaN
436,13080.46,0,0,1,1188.492,NaN,NaN
437,13110.46,0,0,1,1191.218,NaN,NaN
438,13140.46,0,0,1,1193.944,NaN,NaN
439,13170.46,0,0,1,1196.669,NaN,NaN
440,13200.46,0,0,1,1199.395,NaN,NaN
441,13230.46,0,0,1,1202.121,NaN,NaN
442,13260.46,0,0,1,1204.846,NaN,NaN
443,13290.46,0,0,1,1207.572,NaN,NaN
444,13321.07,0,0,1,1210.298,NaN,NaN
445,13351.07,0,0,1,1213.024,NaN,NaN
446,13381.07,0,0,1,1215.749,NaN,NaN
447,13411.07,0,0,1,1218.475,NaN,NaN
448,13441.07,0,0,1,1221.201,NaN,NaN
449,13471.07,0,0,1,1223.926,NaN,NaN
450,13501.07,0,0,1,1226.652,NaN,NaN
451,13531.07,0,0,1,1229.378,NaN,NaN
452,13561.07,0,0,1,1232.103,NaN,NaN
453,13591.07,0,0,1,1234.829,NaN,NaN
454,13621.07,0,0,1,1237.555,NaN,NaN
455,13651.07,0,0,1,1240.281,NaN,NaN
456,13681.07,0,0,1,1243.006,NaN,NaN
457,13711.07,0,0,1,1245.732,NaN,NaN
458,13741.07,0,0,1,1248.458,NaN,NaN
459,13771.07,0,0,1,1251.183,NaN,NaN
460,13801.07,0,0,1,1253.909,NaN,NaN
461,13831.07,0,0,1,1256.635,NaN,NaN
462,13861.07,0,0,1,1259.36,NaN,NaN
463,13891.07,0,0,1,1262.086,NaN,NaN
464,13921.07,0,0,1,1264.812,NaN,NaN
465,13951.07,0,0,1,1267.537,NaN,NaN
466,13981.07,0,0,1,1270.263,NaN,NaN
467,14011.07,0,0,1,1272.989,NaN,NaN
468,14041.07,0,0,1,1275.714,NaN,NaN
469,14071.07,0,0,1,1278.44,NaN,NaN
470,14101.07,0,0,1,1281.166,NaN,NaN
471,14131.07,0,0,1,1283.892,NaN,NaN
472,14161.07,0,0,1,1286.617,NaN,NaN
473,14191.07,0,0,1,1289.343,NaN,NaN
474,14221.07,0,0,1,1292.069,NaN,NaN
475,14251.07,0,0,1,1294.794,NaN,NaN
476,14281.07,0,0,1,1297.52,NaN,NaN
477,14311.07,0,0,1,1300.246,NaN,NaN
478,14341.07,0,0,1,1302.971,NaN,NaN
479,14371.07,0,0,1,1305.697,NaN,NaN
480,14401.07,0,0,1,1308.423,NaN,NaN
481,14431.07,0,0,1,1311.149,NaN,NaN
482,14461.07,0,0,1,1313.874,NaN,NaN
483,14491.07,0,0,1,1316.6,NaN,NaN
484,14521.07,0,0,1,1319.326,NaN,NaN
485,14551.07,0,0,1,1322.051,NaN,NaN
486,14581.07,0,0,1,1324.777,NaN,NaN
487,14611.07,0,0,1,1327.503,NaN,NaN
488,14641.07,0,0,1,1330.228,NaN,NaN
489,14671.07,0,0,1,1332.954,NaN,NaN
490,14701.07,0,0,1,1335.68,NaN,NaN
491,14731.07,0,0,1,1338.406,NaN,NaN
492,14761.07,0,0,1,1341.131,NaN,NaN
493,14791.07,0,0,1,1343.857,NaN,NaN
494,14821.07,0,0,1,1346.583,NaN,NaN
495,14851.07,0,0,1,1349.308,NaN,NaN
496,14881.07,0,0,1,1352.034,NaN,NaN
497,14911.07,0,0,1,1354.76,NaN,NaN
498,14941.07,0,0,1,1357.485,NaN,NaN
499,14971.07,0,0,1,1360.211,NaN,NaN
500,15001.07,0,0,1,1362.937,NaN,NaN
501,15031.07,0,0,1,1365.662,NaN,NaN
502,15061.07,0,0,1,1368.388,NaN,NaN
503,15091.07,0,0,1,1371.114,NaN,NaN
504,15121.07,0,0,1,1373.839,NaN,NaN
505,15151.07,0,0,1,1376.565,NaN,NaN
506,15181.07,0,0,1,1379.291,NaN,NaN
507,15211.07,0,0,1,1382.017,NaN,NaN
508,15241.07,0,0,1,1384.742,NaN,NaN
509,15271.07,0,0,1,1387.468,NaN,NaN
510,15301.07,0,0,1,1390.194,NaN,NaN
511,15331.07,0,0,1,1392.919,NaN,NaN
512,15361.07,0,0,1,1395.645,NaN,NaN
513,15391.07,0,0,1,1398.371,NaN,NaN
514,15421.07,0,0,1,1401.096,NaN,NaN
515,15451.07,0,0,1,1403.822,NaN,NaN
516,15481.07,0,0,1,1406.548,NaN,NaN
517,15511.07,0,0,1,1409.274,NaN,NaN
518,15541.07,0,0,1,1411.999,NaN,NaN
519,15571.07,0,0,1,1414.725,NaN,NaN
520,15601.07,0,0,1,1417.451,NaN,NaN
521,15631.07,0,0,1,1420.176,NaN,NaN
522,15661.07,0,0,1,1422.902,NaN,NaN
523,15691.07,0,0,1,1425.628,NaN,NaN
524,15721.07,0,0,1,1428.353,NaN,NaN
525,15751.07,0,0,1,1431.079,NaN,NaN
526,15781.07,0,0,1,1433.805,NaN,NaN
527,15811.07,0,0,1,1436.531,NaN,NaN
528,15841.07,0,0,1,1439.256,NaN,NaN
529,15871.07,0,0,1,1441.982,NaN,NaN
530,15901.07,0,0,1,1444.708,NaN,NaN
531,15931.07,0,0,1,1447.433,NaN,NaN
532,15961.07,0,0,1,1450.159,NaN,NaN
533,15991.07,0,0,1,1452.885,NaN,NaN
534,16021.07,0,0,1,1455.61,NaN,NaN
535,16051.07,0,0,1,1458.336,NaN,NaN
536,16081.07,0,0,1,1461.062,NaN,NaN
537,16111.07,0,0,1,1463.787,NaN,NaN
538,16141.07,0,0,1,1466.513,NaN,NaN
